# Started Mon Mar 23 11:28:33 2026
type,ts,constituent_id,from_state,target_state,transition,result,final_state,health,goal_match,trigger_event
lifecycle_decision,1774279713.01312,speed-1,disengaged/disengaged,participating,raise_prepare_for_so_s,made,prepared/prepared,ideal,False,raise_prepare_for_so_s
lifecycle_decision,1774279713.01312,speed-1,prepared/prepared,participating,raise_join_so_s,made,passive/available,ideal,False,raise_join_so_s
lifecycle_decision,1774279713.01312,speed-1,passive/available,participating,raise_join_invitation,made,passive/negotiating,ideal,False,raise_join_invitation
lifecycle_decision,1774279713.0241067,speed-1,passive/negotiating,participating,raise_join_constellation,made,active/pending_entry,ideal,False,raise_join_constellation
lifecycle_decision,1774279713.0241067,speed-1,active/pending_entry,participating,raise_constellation_stable,made,active/full_role,ideal,False,raise_constellation_stable
lifecycle_decision,1774279713.0241067,speed-1,active/full_role,malfunctioning,raise_degrade,no_change,active/full_role,defective,False,raise_degrade
lifecycle_decision,1774279713.0241067,speed-1,active/full_role,malfunctioning,raise_degrade,no_change,active/full_role,faulty,False,raise_degrade
lifecycle_decision,1774279713.0251222,speed-1,active/full_role,malfunctioning,raise_degrade,made,active/restricted_role,erroneous,False,raise_degrade
lifecycle_decision,1774279713.0251222,speed-1,active/restricted_role,malfunctioning,raise_degrade,no_change,active/restricted_role,malfunctioning,False,raise_degrade
lifecycle_decision,1774279713.0251222,engine-temp-1,disengaged/disengaged,participating,raise_prepare_for_so_s,made,prepared/prepared,ideal,False,raise_prepare_for_so_s
lifecycle_decision,1774279713.0251222,engine-temp-1,prepared/prepared,participating,raise_join_so_s,made,passive/available,ideal,False,raise_join_so_s
lifecycle_decision,1774279713.0251222,engine-temp-1,passive/available,participating,raise_join_invitation,made,passive/negotiating,ideal,False,raise_join_invitation
lifecycle_decision,1774279713.0251222,engine-temp-1,passive/negotiating,participating,raise_join_constellation,made,active/pending_entry,ideal,False,raise_join_constellation
lifecycle_decision,1774279713.0261238,engine-temp-1,active/pending_entry,participating,raise_constellation_stable,made,active/full_role,ideal,False,raise_constellation_stable
lifecycle_decision,1774279713.0261238,engine-temp-1,active/full_role,malfunctioning,raise_degrade,no_change,active/full_role,defective,False,raise_degrade
lifecycle_decision,1774279713.0261238,engine-temp-1,active/full_role,malfunctioning,raise_degrade,no_change,active/full_role,faulty,False,raise_degrade
lifecycle_decision,1774279713.0261238,engine-temp-1,active/full_role,malfunctioning,raise_degrade,made,active/restricted_role,erroneous,False,raise_degrade
lifecycle_decision,1774279713.0261238,engine-temp-1,active/restricted_role,malfunctioning,raise_degrade,no_change,active/restricted_role,malfunctioning,False,raise_degrade
lifecycle_decision,1774279713.0261238,fuel-1,disengaged/disengaged,participating,raise_prepare_for_so_s,made,prepared/prepared,ideal,False,raise_prepare_for_so_s
lifecycle_decision,1774279713.0261238,fuel-1,prepared/prepared,participating,raise_join_so_s,made,passive/available,ideal,False,raise_join_so_s
lifecycle_decision,1774279713.0271227,fuel-1,passive/available,participating,raise_join_invitation,made,passive/negotiating,ideal,False,raise_join_invitation
lifecycle_decision,1774279713.0271227,fuel-1,passive/negotiating,participating,raise_join_constellation,made,active/pending_entry,ideal,False,raise_join_constellation
lifecycle_decision,1774279713.0271227,fuel-1,active/pending_entry,participating,raise_constellation_stable,made,active/full_role,ideal,False,raise_constellation_stable
lifecycle_decision,1774279713.0271227,fuel-1,active/full_role,malfunctioning,raise_degrade,no_change,active/full_role,defective,False,raise_degrade
lifecycle_decision,1774279713.0271227,fuel-1,active/full_role,malfunctioning,raise_degrade,no_change,active/full_role,faulty,False,raise_degrade
lifecycle_decision,1774279713.0271227,fuel-1,active/full_role,malfunctioning,raise_degrade,made,active/restricted_role,erroneous,False,raise_degrade
lifecycle_decision,1774279713.0271227,fuel-1,active/restricted_role,malfunctioning,raise_degrade,no_change,active/restricted_role,malfunctioning,False,raise_degrade
lifecycle_decision,1774279716.7175145,engine-temp-1,active/restricted_role,,raise_uncertainty_threshold_exceeded,made,active/pending_exit,malfunctioning,False,raise_uncertainty_threshold_exceeded
lifecycle_decision,1774279724.1673784,speed-1,active/restricted_role,,raise_uncertainty_threshold_exceeded,made,active/pending_exit,malfunctioning,False,raise_uncertainty_threshold_exceeded
